"G1_cell1"	"G1_cell2"	"G1_cell3"	"G1_cell4"	"G1_cell5"	"G1_cell6"	"G1_cell7"	"G1_cell8"	"G1_cell9"	"G1_cell10"	"G1_cell11"	"G1_cell12"	"G1_cell13"	"G1_cell14"	"G1_cell15"	"G1_cell16"	"G1_cell17"	"G1_cell18"	"G1_cell19"	"G1_cell20"	"S_cell1"	"S_cell2"	"S_cell3"	"S_cell4"	"S_cell5"	"S_cell6"	"S_cell7"	"G2M_cell1"	"G2M_cell2"	"G2M_cell3"	"G2M_cell4"	"G2M_cell5"	"G2M_cell6"	"G2M_cell7"	"G2M_cell8"
"Serping1"	0	0.263196699897024	5.42750225745436	0.356739925861918	6.55754181754224	0.0591272251655109	4.10982856530709	0.0761882837487921	0.0285803259680323	5.01777941256123	0	0	4.32245458249914	4.74853100451453	0.0541276091241763	0.929952297910492	0.100808280855356	5.27263911522941	4.10982856530709	0.0951820594596867	0	0	0	0	0	0.269511969904999	0	3.38199208502335	0	0.111849676090711	0.26384088735304	0.123528607502367	4.3918226996645	4.97063281676969	4.25286976035972
"Prph"	0.0475802660957938	0.031710521961971	0	4.49409554494063	0	0	0	0	3.87407888171167	0	0.0474973477981866	3.12329206685571	3.53977919169849	0.0268091226264236	4.96625971860035	0.337836662492862	0	0	0	0	0	0	0	0	0	0.356053638967338	0	0	0.168579140898755	1.13247155663602	0	0	0.54549496889287	0	0
"Cyp4f13"	4.23922999233171	0.041123944464929	5.83357576406708	3.89613619615354	0	0	0	0.410645026407836	0.0347512728099534	4.38534129739043	0.0614917080879147	0	0.119278877061927	0	0.0410471045063413	5.21838208576773	0	0	0	0	0	0	0	0.438357798012094	3.17500395531932	0.0174168407126837	0	1.55006828988868	0.917292730559447	3.35600996023811	0	0	0.0315912596071288	3.14119733644259	3.12323908491107
"Mcfd2"	5.27387017925956	0.281146285855018	0.0598849069933344	6.57977752614287	4.97738525929228	0	0.0332491804542609	0.719919388704947	3.42789843640946	6.52876820705477	0	0.0259159740607628	0	0	0.20916760572845	0	0.189104691879505	5.00609601449727	0.0332491804542609	0.0313909613523689	0	0.336995132276566	6.13354708655172	5.90941790595169	6.43432297778259	0.0258312343471503	0.434500664405722	0	0	3.45935030080692	0	0	2.88301272316529	5.23063726316858	3.58082083571041
"Incenp"	3.36732073819953	3.92439447707853	0.123207029889871	0	3.20476675065461	2.21558852241573	0.2314459259702	3.37294931278358	4.93156014857718	3.82587719194527	3.17244271062059	0.0149405370556364	1.61720913455338	0	0.0424825503982053	0	0	2.26285105168814	0.2314459259702	0.0537167936751959	1.33748846325403	3.82804252343757	4.72587200726282	0.0976129539258049	1.91244676205652	4.84777146784195	4.8708627949604	5.16458517483228	5.3615788879988	4.56658381727221	3.94956294624098	4.86261008401129	5.26537688252797	4.44208093756279	5.42095729358739
"Tmem216"	0	0.185029222172564	5.16897090430396	0.481944702733267	6.49937713431811	0.178992478600606	6.36809607535669	0	0	0	0.185666139466157	0	0.180906572692542	0.299713560064242	5.39491193948721	6.27129120156401	0.199590059801229	5.51774496526683	6.36809607535669	0.30195515049542	0	0	0	0	0	0.610117953787276	0	4.36447438172821	3.50835258576167	4.34413254119733	0.811951026970116	0.808763129319051	0.0973544595303144	3.70893763962644	0
"Tmem134"	5.88034023614942	6.18215992745433	6.2618579795746	5.89128793840273	6.90169958814535	0.082542371806384	5.87449206970013	0.488227058190957	6.26511804561722	0.191490640482158	0.16824151657609	0	5.61758353742501	6.60670723089772	0	0.500012688058034	4.77505054148317	6.06553569231663	5.87449206970013	0.436678898971031	5.41840249025787	4.18238243436012	5.38620394898961	8.01068474483264	0.537709555556314	0	0.0645837992872886	6.55709604035717	5.17800148202215	5.30394509647855	0.47559544436563	6.41626889991554	6.07682414632945	6.01911697960919	4.96553958283185
"Hhex"	0	0	0	0	0	4.74166113042716	5.36094362632095	0	4.46328240525737	0	5.47874859055106	0.0267291088662944	0	0.129177094508741	0	0	4.74235120878573	0.0742037130313405	5.36094362632095	0.539868504534018	0	0	0	2.39948558073425	0	0.95004431519373	0	3.27160196815363	0.168386589179122	3.73116151407364	0.0633284277772501	0.193639293182004	4.56328628289975	0.0557684529075005	2.8645090740605
"3110040N11Rik"	0	0	0	3.99546642854414	5.55112222195786	4.88363547774614	0.0733161272091674	0	0	0.0571933542785765	6.04136346466936	0.151948414266823	0.332745736767236	0	0	0	0.142893058326316	5.17339531483873	0.0733161272091674	0.069023754900229	0.16110599740106	0.157962084576699	5.61056128936108	0.164078270123162	0.0567910395746853	0.217214582766562	4.90834698224831	3.66963910041792	0	3.09678809108999	0.134870696316853	0	0.150861181328672	4.44387182839776	0
"Rps26"	8.80250990286692	9.28871614602768	8.80155640320118	8.17397189063227	8.94669285089381	8.50815526888221	8.72069572467801	9.14993252438294	8.74631276642546	8.99374511365664	9.71785632037623	9.02915744760598	8.80880011331227	9.54916665019328	8.85453493572351	9.11905004916819	8.93097973726625	8.1674432359621	8.72069572467801	9.15500286342859	8.46466826700344	8.51811806933752	8.38995823423351	7.99791899020039	7.92863680611074	7.66025979766812	8.24760002246764	7.94154651936558	8.45551216935178	8.32628116505468	8.48502423332337	8.30679538561806	8.5412515273051	8.29066399756695	7.91375110405063
"Nab2"	3.36665653101232	3.62763018252073	0.0466818702744442	0.233495436674538	0.0190111055236777	0	4.52545503479603	0.637300484453972	0.0791153724713014	0.153845536459408	0.0534580978126123	5.85619393180423	0.0190896976202295	0.135825612135293	0.0383323656876877	2.71631491846423	0.148964031598971	0.0210420198325414	4.52545503479603	0.0244425229235184	3.72888918478938	0.0208955664091922	0.0193600388226173	0.066701762207137	4.944605483592	0.053007041482044	3.89922397735945	3.50185947188113	3.89606836504318	4.12970339824715	3.45186916043097	0.147361409428421	0.054352007265807	2.62520501712548	0
"1810014F10Rik"	0	0	4.62452205797686	0	0	4.75411251337589	4.34661655753491	0	0	4.14780325212954	0	0	0	0	4.65025906784894	0	0	0	4.34661655753491	3.7991805807553	3.20148801614714	0	0	0	0	0	0	0	4.04323075078363	0	0	0.150576572904846	0	0	3.86229268118217
"Apool"	5.31476902107304	0	3.47789747069391	0.335119620744648	5.56163163037584	4.61439182730306	5.73733523741192	4.90271517054079	0	0	0	0	3.93459198398242	5.49562481673597	0	2.84790272755474	0.194160193891895	4.65726842337508	5.73733523741192	0.0796322010610215	0	0	3.9005287310401	0.56144834178548	0.374346214988631	0.189614582064424	5.34582213754306	0	0	4.69012651575921	0	0	0.0946178098276455	0	0
"1810029B16Rik"	0.123998792343524	0	0.0734616053266569	4.47686120999167	3.41722332892095	0.0495755679018155	0.229162126450222	0	0	3.54049849912919	3.68084192368142	0	0.361634749567189	4.74600097300256	0.132035985640753	4.76899941571346	0.426646917613772	0	0.229162126450222	5.39790219506297	0.510641959846938	0	3.31249092450439	0	0.092660881941053	0	0	4.29377510018206	0	0.26462169911217	0.123506756268965	4.51534661068594	0.125753448715031	4.38017531174203	4.04603698158843
"Tgm4"	0	0	0.659457889790889	0	0	0	0	0	0	0	0	1.78817618853636	0	0	2.12539983133233	0	1.69449245122059	0	0	0	1.32417694550338	0	0.000108198070689806	0	0	0	0.0787677574415924	1.9669545857445	2.22807676214413	2.35735494012974	2.9538165058319	0.03171193329176	3.0166193323949	2.5578683270325	1.93591605759525
"Rpl14"	9.36884908817379	9.619939325126	9.1001997615258	9.10184176583236	9.21838644526961	9.23396712790876	9.36189772954174	9.37413529095859	9.22124150970189	9.33670961628337	9.63554763466565	9.55336818376123	9.38338029762876	9.88619497773818	9.76473394774682	9.46189071022695	9.51479096952708	9.52940127045841	9.36189772954174	9.56347277021471	9.3127286966245	9.43150387228951	9.4213726954393	9.15371415162888	8.54336828093375	8.73897382489712	9.31812022006027	8.67601346978567	9.37453526909434	8.81298909453261	9.08184822671137	9.10550261167493	9.14076076510836	8.94095660948049	9.11885284766734
"Gm5045"	7.3828920079543	8.24792751344359	7.60195645149797	7.32278444086533	7.62720554735671	7.57981372292238	7.69985003476741	7.64314187892296	7.55972887783537	7.39513136704407	7.96527059378513	7.9611023639156	7.86855713619347	8.04447062388514	8.28929501323576	7.78032978634137	7.77803769314103	7.7999097290773	7.69985003476741	8.18207151116555	7.28770314627164	7.56667057289634	7.63599375665854	7.76870042609086	7.23720039853582	6.99433080617092	7.68702568463883	7.03953323814814	7.305441630368	6.90601268906832	7.57609882078016	7.3655525716344	7.10731124662749	6.84284058783533	7.35500745179623
"Gsta3"	0.0380471494061002	5.49078831515414	0	0	0	0	5.0797706277966	0	0	4.22620022869822	0	0.0424524321983965	4.75670308634617	0	0.0800763754870247	0	0.141652513785703	4.3814702738617	5.0797706277966	0.0853055372111438	0	0	0	0	5.5030147393237	0	4.12340961359804	0	0.736080084787047	0	3.84958900352073	0	0.126137251609171	4.10039742641481	0
"Eef1b2"	11.5371650023584	11.5742907661202	11.3941303863098	11.2265446545327	11.4551165550075	11.2846621854832	11.3855766367769	11.127091548383	11.3608964531272	11.7637933122755	11.4455373918231	11.2232415259176	11.1096609154656	11.2048034239033	11.3332783655732	11.1400053206296	10.7119422379485	10.8790394563337	11.3855766367769	11.2332541636944	11.1114095736702	11.3780834763905	11.5055634763606	11.0770827380646	10.7427052175579	11.2097153177191	11.620022747604	10.3659177657673	11.0191528498345	10.5877118951784	10.5264307706286	11.1184220243132	11.038027314767	10.6045068990146	10.9731089768525
"Fam135a"	0	0	0	0.00679220818812737	0.858511013561724	0.00760567091419539	0.0460531911614864	3.65923957221832	2.9534738512325	0.0144704183046014	0.0258221649190612	3.74315947452884	3.73319162147075	0.566620346591921	0	0.00732764908858115	0.99660784589858	3.66066625994054	0.0460531911614864	4.30626953194072	0.417836856075797	3.30632203478536	2.88650137384808	0.0310011540279699	3.22659638356244	0.0358170068170096	0.267256520410231	0.00620295910531296	0.0060299934873654	2.54708701210808	3.42885659214694	2.85439866750157	0.0126690973146365	2.4428638966851	2.91749286096737
